time;gFx;gFy;gFz;TgF
0,003000;-0,1594;0,7959;0,6071;1,014
0,004000;-0,1477;0,7930;0,6000;1,005
0,004000;-0,1333;0,7852;0,5947;0,994
0,004000;-0,1284;0,7786;0,5759;0,977
0,004000;-0,1223;0,7752;0,5654;0,967
0,005000;-0,1137;0,7800;0,5575;0,966
0,009000;-0,1115;0,7825;0,5424;0,959
0,014000;-0,1137;0,7837;0,5346;0,955
0,019000;-0,1162;0,7891;0,5353;0,961
0,034000;-0,1221;0,7925;0,5375;0,965
0,035000;-0,1296;0,7930;0,5417;0,969
0,035000;-0,1401;0,7918;0,5451;0,971
0,047000;-0,1501;0,7942;0,5456;0,975
0,047000;-0,1541;0,7974;0,5377;0,974
0,049000;-0,1541;0,8037;0,5402;0,981
0,055000;-0,1592;0,8040;0,5458;0,985
0,059000;-0,1670;0,8059;0,5524;0,991
0,064000;-0,1734;0,8059;0,5526;0,992
0,069000;-0,1797;0,8042;0,5539;0,993
0,075000;-0,1839;0,8062;0,5600;0,999
0,080000;-0,1870;0,8086;0,5585;1,000
0,085000;-0,1887;0,8108;0,5556;1,001
0,090000;-0,1924;0,8145;0,5602;1,007
0,095000;-0,1897;0,8111;0,5553;1,001
0,100000;-0,1905;0,8094;0,5580;1,001
0,105000;-0,1853;0,8079;0,5666;1,004
0,110000;-0,1802;0,8106;0,5658;1,005
0,115000;-0,1751;0,8052;0,5617;0,997
0,121000;-0,1699;0,8018;0,5551;0,990
0,135000;-0,1673;0,8013;0,5548;0,989
0,135000;-0,1616;0,8018;0,5536;0,988
0,136000;-0,1572;0,7969;0,5548;0,984
0,141000;-0,1558;0,7959;0,5575;0,984
0,146000;-0,1511;0,7962;0,5573;0,984
0,151000;-0,1482;0,7981;0,5592;0,986
0,159000;-0,1494;0,7971;0,5646;0,988
0,161000;-0,1477;0,7949;0,5656;0,987
0,165000;-0,1455;0,7957;0,5654;0,987
0,171000;-0,1458;0,7991;0,5676;0,991
0,176000;-0,1501;0,8025;0,5663;0,994
0,181000;-0,1477;0,7923;0,5749;0,990
0,186000;-0,1450;0,7876;0,5754;0,986
0,192000;-0,1467;0,7915;0,5683;0,985
0,196000;-0,1560;0,7981;0,5656;0,991
0,202000;-0,1597;0,8020;0,5658;0,994
0,219000;-0,1545;0,8001;0,5734;0,996
0,220000;-0,1587;0,7942;0,5722;0,992
0,220000;-0,1609;0,7991;0,5741;0,997
0,224000;-0,1543;0,7986;0,5763;0,997
0,226000;-0,1548;0,7962;0,5759;0,995
0,232000;-0,1558;0,7947;0,5729;0,992
0,237000;-0,1550;0,7962;0,5724;0,993
0,242000;-0,1550;0,7969;0,5734;0,994
0,247000;-0,1548;0,7962;0,5732;0,993
0,253000;-0,1523;0,7945;0,5717;0,991
0,258000;-0,1482;0,7945;0,5712;0,990
0,267000;-0,1470;0,7969;0,5688;0,990
0,268000;-0,1477;0,7969;0,5676;0,989
0,274000;-0,1465;0,7932;0,5712;0,988
0,277000;-0,1475;0,7920;0,5697;0,987
0,282000;-0,1482;0,7930;0,5649;0,985
0,287000;-0,1482;0,7969;0,5673;0,989
0,293000;-0,1519;0,7927;0,5651;0,985
0,297000;-0,1504;0,7949;0,5717;0,991
0,303000;-0,1506;0,7947;0,5783;0,994
0,319000;-0,1545;0,7947;0,5778;0,995
0,320000;-0,1565;0,7959;0,5702;0,992
0,320000;-0,1572;0,7971;0,5724;0,994
0,323000;-0,1589;0,7993;0,5746;0,997
0,329000;-0,1599;0,7984;0,5710;0,994
0,333000;-0,1638;0,8023;0,5671;0,996
0,340000;-0,1619;0,8003;0,5656;0,993
0,344000;-0,1565;0,8001;0,5634;0,991
0,348000;-0,1585;0,7981;0,5546;0,985
0,354000;-0,1607;0,7989;0,5504;0,983
0,359000;-0,1575;0,7974;0,5492;0,981
0,364000;-0,1560;0,7996;0,5519;0,984
0,369000;-0,1521;0,7986;0,5558;0,985
0,374000;-0,1516;0,7993;0,5539;0,984
0,378000;-0,1509;0,7979;0,5588;0,986
0,384000;-0,1528;0,7976;0,5600;0,986
0,390000;-0,1526;0,7964;0,5600;0,985
0,402000;-0,1526;0,7935;0,5715;0,990
0,403000;-0,1550;0,7940;0,5717;0,991
0,405000;-0,1528;0,7925;0,5766;0,992
0,410000;-0,1516;0,7959;0,5744;0,993
0,414000;-0,1519;0,7969;0,5790;0,997
0,419000;-0,1511;0,7945;0,5815;0,996
0,435000;-0,1511;0,7947;0,5812;0,996
0,436000;-0,1545;0,7967;0,5800;0,997
0,437000;-0,1555;0,7969;0,5773;0,996
0,440000;-0,1523;0,7976;0,5719;0,993
0,445000;-0,1497;0,7945;0,5683;0,988
0,450000;-0,1511;0,7945;0,5719;0,991
0,455000;-0,1548;0,7945;0,5702;0,990
0,460000;-0,1514;0,7947;0,5658;0,987
0,465000;-0,1492;0,7927;0,5666;0,986
0,469000;-0,1467;0,7935;0,5612;0,983
0,475000;-0,1477;0,7942;0,5610;0,983
0,480000;-0,1482;0,7927;0,5634;0,984
0,486000;-0,1509;0,7954;0,5678;0,989
0,491000;-0,1553;0,7969;0,5663;0,990
0,495000;-0,1538;0,7945;0,5695;0,990
0,500000;-0,1516;0,7971;0,5693;0,991
0,505000;-0,1533;0,7991;0,5715;0,994
0,510000;-0,1519;0,8003;0,5722;0,995
0,515000;-0,1484;0,7979;0,5685;0,991
0,521000;-0,1519;0,7952;0,5712;0,991
0,536000;-0,1494;0,7964;0,5666;0,989
0,537000;-0,1467;0,7979;0,5619;0,987
0,537000;-0,1514;0,7984;0,5678;0,991
0,541000;-0,1526;0,7945;0,5658;0,987
